test,N,M,C,total_cost_Crama’s LP,total_cost_LSG,total_cost_Privault-Finke,millis_Crama’s LP,millis_LSG,millis_Privault-Finke
rand_M3544_N369_C19_id000.txt,369,3544,19,10742,10742,10742,51.396,3.213,3034.506
rand_M3558_N370_C19_id000.txt,370,3558,19,10477,10477,10477,50.328,3.121,2918.909
rand_M3572_N371_C19_id000.txt,371,3572,19,10842,10842,10842,51.572,3.614,3309.062
rand_M357_N80_C8_id000.txt,80,357,8,985,985,985,1.362,0.112,13.133
rand_M3587_N372_C19_id000.txt,372,3587,19,10672,10672,10672,52.884,3.782,3153.892
rand_M35_N17_C4_id000.txt,17,35,4,111,111,111,0.217,0.049,0.188
rand_M3601_N373_C19_id000.txt,373,3601,19,10822,10822,10822,52.094,4.77,3066.868
rand_M3616_N374_C19_id000.txt,374,3616,19,11335,11335,11335,56.863,4.734,3603.031
rand_M3630_N375_C19_id000.txt,375,3630,19,11675,11675,11675,57.01,4.962,3633.042
rand_M3645_N376_C19_id000.txt,376,3645,19,10010,10010,10010,46.023,3.514,2732.017
rand_M364_N81_C9_id000.txt,81,364,9,1214,1214,1214,1.684,0.284,23.105
rand_M3660_N377_C19_id000.txt,377,3660,19,11105,11105,11105,53.436,3.775,3300.63
rand_M3674_N378_C19_id000.txt,378,3674,19,10683,10683,10683,51.427,3.77,3189.357
rand_M3689_N379_C19_id000.txt,379,3689,19,11014,11014,11014,53.11,3.366,3392.278
rand_M3703_N380_C19_id000.txt,380,3703,19,10962,10962,10962,52.241,3.051,3176.59
rand_M3718_N381_C19_id000.txt,381,3718,19,11253,11253,11253,55.77,3.285,3406.199
rand_M371_N82_C9_id000.txt,82,371,9,1107,1107,1107,1.696,0.15,17.224
rand_M3733_N382_C19_id000.txt,382,3733,19,10998,10998,10998,55.444,3.283,3340.032
rand_M3747_N383_C19_id000.txt,383,3747,19,11203,11203,11203,58.535,3.311,3459.983
rand_M3762_N384_C19_id000.txt,384,3762,19,11660,11660,11660,56.778,3.32,3512.477
rand_M3777_N385_C19_id000.txt,385,3777,19,10894,10894,10894,54.105,3.303,3257.497
rand_M378_N83_C9_id000.txt,83,378,9,1006,1006,1006,1.594,0.142,16.073
rand_M3791_N386_C19_id000.txt,386,3791,19,11532,11532,11532,60.097,3.716,3645.545
rand_M3806_N387_C19_id000.txt,387,3806,19,10754,10754,10754,50.48,3.795,3236.127
rand_M3821_N388_C19_id000.txt,388,3821,19,11997,11997,11997,62.338,3.51,4120.533
rand_M3836_N389_C19_id000.txt,389,3836,19,11784,11784,11784,59.004,3.34,3751.101
rand_M384_N84_C9_id000.txt,84,384,9,1178,1178,1178,2.026,0.167,21.711
rand_M3850_N390_C19_id000.txt,390,3850,19,10859,10859,10859,55.465,3.073,3415.275
